seq_id,frame_idx,lane_count,road_count,raw9_count,raw10_count,lane_mean,road_mean,lane_median,road_median,lane_minus_road_mean,lane_minus_road_median,cohens_d_lane_vs_road,frac_lane_above_road_p90,auc_lane_vs_road,auc_lane_vs_road_plus_other_marking,lane_forward_median_x,road_p90,insufficient_support
103,50,86,21923,0,19,63.67441940307617,27.31341552734375,69.5,29.0,36.36100387573242,40.5,4.583275561261789,0.9767441860465116,0.9836162827825508,0.9836304697585389,1.3722777366638184,34.0,False
066,12,102,31315,0,2390,55.343135833740234,27.44062042236328,54.5,28.0,27.902515411376953,26.5,3.2040084841114163,0.9411764705882353,0.9817014335671999,0.9801596027819227,2.2644505500793457,37.0,False
066,11,96,29708,0,2348,55.8125,27.065908432006836,55.5,28.0,28.746591567993164,27.5,3.288439184328914,0.9583333333333334,0.9807992235537004,0.9794435259129856,2.2479283809661865,36.0,False
103,38,112,23084,0,0,62.52678680419922,27.39321517944336,66.0,29.0,35.13357162475586,37.0,4.219318355752844,0.9464285714285714,0.9745794474218382,0.9745794474218382,1.5615477561950684,35.0,False
066,13,125,31987,0,2311,53.61600112915039,27.629444122314453,52.0,29.0,25.986557006835938,23.0,2.994588274895583,0.912,0.9723400131303342,0.9706296577059886,2.257045269012451,37.0,False
066,14,147,31556,0,2248,51.829933166503906,27.383317947387695,50.0,29.0,24.44661521911621,21.0,2.8162176749762797,0.8979591836734694,0.9713595223867212,0.9693077621534947,2.269598960876465,37.0,False
066,17,185,25129,0,1939,50.221622467041016,26.898284912109375,47.0,29.0,23.32333755493164,18.0,2.7139677703713967,0.9513513513513514,0.9696723823987146,0.9664467667016803,2.249023199081421,35.0,False
058,27,120,30180,267,956,55.28333282470703,24.772563934326172,48.5,28.0,30.51076889038086,20.5,3.0522763311987617,0.9083333333333333,0.9669023359840955,0.9657824623974355,-0.704689621925354,34.0,False
041,49,40,16898,0,1119,47.32500076293945,28.54586410522461,44.0,29.0,18.779136657714844,15.0,2.2511999700247083,0.95,0.9730049414131849,0.9630238108453127,-0.06630432605743408,36.0,False
058,26,95,30880,280,762,52.726314544677734,24.969398498535156,47.0,28.0,27.756916046142578,19.0,2.6550788722615954,0.8631578947368421,0.9629366648486501,0.96266706016969,-0.63871830701828,34.0,False
066,15,166,29612,0,2096,50.8795166015625,27.226259231567383,48.0,29.0,23.653257369995117,19.0,2.7541791251098036,0.8975903614457831,0.9647707743034817,0.9624923625370664,2.2493057250976562,36.0,False
041,47,30,21205,0,888,49.46666717529297,28.609384536743164,46.0,29.0,20.857282638549805,17.0,2.7468341422990235,0.9666666666666667,0.9651434410123398,0.9612622399251648,1.400970697402954,36.0,False
046,5,86,25209,0,2166,43.593021392822266,26.895116806030273,42.0,29.0,16.697904586791992,13.0,2.097547022791903,0.9186046511627907,0.9764448282128845,0.9612606987363279,1.177292823791504,34.0,False
