seq_id,frame_count,lane_count_total,road_count_total,raw9_count_total,raw10_count_total,lane_mean_avg,road_mean_avg,lane_median_avg,road_median_avg,lane_minus_road_mean_avg,lane_minus_road_median_avg,cohens_d_lane_vs_road_avg,frac_lane_above_road_p90_avg,auc_lane_vs_road_avg,auc_lane_vs_road_plus_other_marking_avg,lane_forward_median_x_avg,metric_std_lane_minus_road_median,lane_point_count_exact,road_point_count_exact,stop_line_point_count_exact,other_marking_point_count_exact,lane_median_exact,road_median_exact,lane_minus_road_median_exact,auc_lane_vs_road_exact,auc_lane_vs_road_surface_non_lane_exact
023,80,49342,2075742,0,4160,49.205321884155275,28.362166714668273,52.14375,29.0125,20.843155169486998,23.13125,2.5942302193177413,0.7626141840524516,0.8596049709701425,0.8595925692513537,1.25906800031662,2.277773382555534,49342,2075742,0,4160,52.0,29.0,23.0,0.8579191878583661,0.8579001560481219
042,80,20066,1836577,0,29144,48.674516153335574,28.646167993545532,47.40625,29.75,20.02834815979004,17.65625,2.4192294405280856,0.7008811408820919,0.8470574565047135,0.8413314663723117,-0.33227439373731615,4.041394788367382,20066,1836577,0,29144,47.0,30.0,17.0,0.830226052153971,0.8255507686099082
053,80,47695,2234954,370,36085,33.522587943077085,22.859012389183043,32.86875,26.4375,10.663575553894043,6.43125,1.2091977920526182,0.5841268405237086,0.8316696865058631,0.8236198225498204,-2.150368060171604,2.3353959765077543,47695,2234954,370,36085,32.0,26.0,6.0,0.8268465305761857,0.8184715240326332
109,80,40057,2173275,3543,9508,44.25366582870483,22.920703601837157,46.3125,26.45,21.332962226867675,19.8625,2.359796641104973,0.706567198464487,0.8217218125463642,0.8219936866798154,-3.7916198164224624,5.951797409611931,40057,2173275,3543,9508,43.0,26.0,17.0,0.8251388063436137,0.825502074085535
046,80,29398,2012678,702,44177,42.18846211433411,26.61997780799866,37.61875,28.3875,15.56848430633545,9.23125,1.861628887623123,0.584450526739426,0.8247461638025294,0.82074503298936,0.19046778380870819,2.9999406639701682,29398,2012678,702,44177,36.0,28.0,8.0,0.7989003728225477,0.7941932257074115
066,80,62225,2101225,0,120984,40.415571975708005,26.983437490463256,39.4625,28.7875,13.43213448524475,10.675,1.5955037521816124,0.593170521059905,0.8243306314206322,0.8169660766046173,1.4634780645370484,8.093246129421273,62225,2101225,0,120984,36.0,29.0,7.0,0.8031303234738507,0.7931260517392204
016,80,118863,1928015,0,13296,43.2315737247467,28.07567231655121,40.0875,28.975,15.155901408195495,11.1125,1.7349729492760404,0.6188764433953657,0.8160849653869467,0.8149409161211155,0.45267470851540564,2.1331841654072683,118863,1928015,0,13296,40.0,29.0,11.0,0.8170688830464481,0.8160019341504505
044,80,27313,2270786,1257,7593,49.537615633010866,27.68188648223877,45.9375,29.0875,21.855729150772095,16.85,2.4797898063453045,0.6590627639199701,0.8130873697668113,0.8134546964834772,-1.0416671998798848,4.001107441633337,27313,2270786,1257,7593,45.0,29.0,16.0,0.8037642963601104,0.8041178515339706
103,80,21140,1924289,0,1838,50.70300550460816,26.72814905643463,54.38125,28.825,23.974856448173522,25.55625,2.68585376730812,0.7040709763021397,0.8131591280551126,0.8131387180149654,1.2086073771119117,9.485496507159853,21140,1924289,0,1838,52.0,29.0,23.0,0.7976453411199429,0.7976245818431237
024,80,104112,2562881,6294,38142,40.092990207672116,26.229361009597778,38.3,28.0,13.86362919807434,10.3,1.5494601074705148,0.5804264086355325,0.8121074060763382,0.8094569147446989,0.12397488951683044,4.140415193514238,104112,2562881,6294,38142,37.0,28.0,9.0,0.804650922658437,0.8020371410106211
021,80,53721,2431987,7185,7782,40.77256565093994,28.061872696876527,39.33125,28.9625,12.710692954063415,10.36875,1.322635147948025,0.5435426797697482,0.8062426270421781,0.8053344327297293,4.20826045870781,3.461125658334989,53721,2431987,7185,7782,39.0,29.0,10.0,0.8051403874659961,0.8041372212025247
102,80,33869,1857127,3564,25554,45.032812809944154,26.1864914894104,46.04375,28.3,18.846321320533754,17.74375,2.062988823656881,0.6603461135683366,0.7911601204711279,0.7902829999882263,-1.2092530280351639,9.354141352526055,33869,1857127,3564,25554,49.0,28.0,21.0,0.8064028264929438,0.8054821725781759
094,80,56224,2483891,0,15196,39.96629371643066,24.676545166969298,36.25,27.3625,15.289748549461365,8.8875,1.607684298329599,0.5833775880356205,0.7881740004890115,0.7880088828605971,-4.241358998417854,2.5949988414914125,56224,2483891,0,15196,36.0,27.0,9.0,0.7902514409958153,0.7900898767827336
065,80,30508,1497862,26345,110227,41.058100891113284,25.02418930530548,37.04375,27.7875,16.0339115858078,9.25625,1.6081913063119135,0.5785639964622594,0.7961293475454301,0.7768681190189654,1.002528576552868,2.959637497046564,30508,1497862,26345,110227,36.0,28.0,8.0,0.7940418085438667,0.7740588357156105
073,80,19501,2412806,11214,124180,44.44498562812805,26.810264682769777,42.025,28.4,17.634720945358275,13.625,2.1227199732876185,0.6396689671166248,0.7811915289975221,0.7767691397295321,0.16719409860670567,7.554653189268624,19501,2412806,11214,124180,43.0,28.0,15.0,0.8101665114028271,0.8039691376888128
101,80,87048,2257421,0,55137,45.98716015815735,25.142449021339417,43.40625,27.875,20.84471113681793,15.53125,1.9372739745018954,0.5592834442103544,0.7501112155039419,0.748925383856779,-2.167294901609421,9.650980061073616,87048,2257421,0,55137,43.0,28.0,15.0,0.7763780903897167,0.7750839724610028
