seq_id,frame_idx,radius_m,lane_points_evaluated,delta_mean_avg,delta_median_avg,zscore_avg,frac_positive_delta_mean,frac_above_local_p75,frac_above_local_p90
001,0,0.25,126,2.4158287048339844,2.527777671813965,2.3412673473358154,0.8015873015873016,0.6666666865348816,0.523809552192688
001,0,0.5,153,3.098872184753418,3.3921568393707275,1.4250138998031616,0.7973856209150327,0.6535947918891907,0.46405228972435
001,0,0.75,157,3.6565260887145996,4.003184795379639,1.2539043426513672,0.8535031847133758,0.6305732727050781,0.42038217186927795
001,0,1.0,158,3.6591455936431885,3.8924050331115723,0.9504854083061218,0.8481012658227848,0.6139240264892578,0.32278481125831604
001,1,0.25,128,1.7631313800811768,1.68359375,1.1859021186828613,0.765625,0.5703125,0.4921875
001,1,0.5,142,2.5522100925445557,2.7852113246917725,1.0149431228637695,0.8450704225352113,0.6126760840415955,0.3802816867828369
001,1,0.75,143,3.020421266555786,3.493006944656372,1.048563838005066,0.8321678321678322,0.6153846383094788,0.41258740425109863
001,1,1.0,143,3.1022229194641113,3.360139846801758,0.8669840693473816,0.8321678321678322,0.5454545617103577,0.3426573574542999
001,2,0.25,94,3.5144968032836914,3.744680881500244,2.9874351024627686,0.7872340425531915,0.6382978558540344,0.542553186416626
001,2,0.5,121,2.728503465652466,3.2768595218658447,1.6029301881790161,0.7768595041322314,0.5702479481697083,0.3719008266925812
001,2,0.75,122,3.0463385581970215,3.4344263076782227,1.092384696006775,0.8032786885245902,0.5327869057655334,0.2786885201931
001,2,1.0,122,3.132112741470337,3.0163934230804443,0.8705977201461792,0.7786885245901639,0.4590163826942444,0.24590164422988892
001,3,0.25,70,2.6213841438293457,2.528571367263794,1.1030161380767822,0.6285714285714286,0.5571428537368774,0.4714285731315613
001,3,0.5,77,3.223513603210449,4.0194807052612305,1.284890055656433,0.6753246753246753,0.5064935088157654,0.3246753215789795
001,3,0.75,81,3.3833632469177246,3.802469253540039,1.059630274772644,0.654320987654321,0.43209877610206604,0.29629629850387573
001,3,1.0,81,4.1467671394348145,4.012345790863037,0.7989884614944458,0.654320987654321,0.45679011940956116,0.29629629850387573
001,4,0.25,46,2.2395260334014893,3.04347825050354,1.0928871631622314,0.717391304347826,0.6304348111152649,0.5652173757553101
001,4,0.5,53,2.7882261276245117,3.8773584365844727,0.9387922883033752,0.6792452830188679,0.5283018946647644,0.43396225571632385
001,4,0.75,53,3.7089622020721436,4.490566253662109,1.0925638675689697,0.7169811320754716,0.49056604504585266,0.3962264060974121
001,4,1.0,53,4.66142463684082,4.632075309753418,1.071857213973999,0.7169811320754716,0.5660377144813538,0.43396225571632385
001,5,0.25,53,-0.46132081747055054,0.3679245412349701,1.456937551498413,0.6037735849056604,0.4716981053352356,0.43396225571632385
001,5,0.5,61,0.5442062616348267,1.1639344692230225,0.5491819977760315,0.6229508196721312,0.4754098355770111,0.4098360538482666
001,5,0.75,62,1.9537147283554077,2.0161290168762207,0.5887066721916199,0.6451612903225806,0.5161290168762207,0.4032258093357086
001,5,1.0,62,3.0573980808258057,2.475806474685669,0.669532835483551,0.6451612903225806,0.5806451439857483,0.3870967626571655
