split,sequence,error,lid_frame,cam_frame,dt_seconds,dt_ok,n_forward_lidar,n_active,n_road,n_marking,n_other,n_projected,n_road_projected,n_marking_projected,n_other_projected,valid_ratio_overall,valid_ratio_road,valid_ratio_marking,valid_ratio_other
train,003,,40,40,-0.04982805252075195,True,65719,65600,27207,897,37496,59114,26427,872,31701,0.8994963404799221,0.9713309074870438,0.9721293199554069,0.8454501813526776
train,005,,40,40,-0.049870967864990234,True,62393,61972,18248,906,42818,54128,17541,868,35359,0.8675332168672768,0.9612560280578694,0.9580573951434879,0.825797561773086
train,011,,40,40,-0.04984593391418457,True,52992,52920,15030,6098,31792,47624,14256,5878,27438,0.8987016908212561,0.948502994011976,0.9639225975729747,0.8630473074987418
train,016,,40,40,-0.04985809326171875,True,54845,54813,26780,1711,26322,47712,25087,1465,21135,0.8699425654116145,0.9367811799850635,0.8562244301578025,0.8029405060405744
train,017,,40,40,-0.04983091354370117,True,54022,53685,18517,2723,32445,48168,17098,2525,28227,0.8916367405871682,0.9233677161527245,0.9272860815277267,0.8699953767914933
train,019,,40,40,-0.04982495307922363,True,61016,60946,22295,488,38163,51522,21575,407,29496,0.8444014684672873,0.967705763624131,0.8340163934426229,0.7728952126405156
train,021,,40,40,-0.04987907409667969,True,62602,62543,29071,642,32830,52265,27545,520,24152,0.8348774799527172,0.9475078256681917,0.8099688473520249,0.7356685957965275
train,023,,40,40,-0.04984402656555176,True,67022,66985,25121,624,41240,56338,24055,624,31628,0.8405896571275103,0.9575653835436487,1.0,0.7669253152279341
train,024,,40,40,-0.04983401298522949,True,64774,64727,31727,943,32057,54951,29972,943,23995,0.8483496464630871,0.9446843382607873,1.0,0.7485104657329132
train,027,,40,40,-0.049833059310913086,True,71106,71092,24450,0,46642,60965,24130,0,36821,0.8573819368267094,0.9869120654396728,0.0,0.7894387033146092
train,028,,40,40,-0.049829959869384766,True,71944,71928,23936,15,47977,64987,23838,15,41119,0.9032997887245635,0.9959057486631016,1.0,0.8570565062425746
train,029,,40,40,-0.04987692832946777,True,74152,74062,36774,1981,35307,63420,35005,1633,26692,0.855270255691013,0.9518953608527764,0.8243311458859162,0.7559973942844195
train,030,,40,40,-0.049833059310913086,True,66704,66640,23300,67,43273,57360,22949,67,34281,0.8599184456704245,0.9849356223175966,1.0,0.7922029903172879
train,032,,40,40,-0.04983711242675781,True,68301,68128,22372,45,45711,60089,22091,45,37782,0.8797674997437812,0.9874396567137493,1.0,0.8265406576097657
train,033,,40,40,-0.04985785484313965,True,73739,73721,26783,2,46936,64915,26385,2,38510,0.8803346939882559,0.9851398275025203,1.0,0.8204789500596557
train,035,,40,40,-0.049818992614746094,True,71033,71023,24055,155,46813,65359,23785,155,41409,0.9201216336069151,0.9887757223030555,1.0,0.8845619806464017
train,039,,40,40,-0.04983401298522949,True,69994,69976,23851,400,45725,60258,23122,400,36718,0.8609023630596908,0.9694352438052912,1.0,0.8030180426462548
train,040,,40,40,-0.049868106842041016,True,58956,58948,13506,754,44688,48149,12599,754,34788,0.8166938055499017,0.9328446616318673,1.0,0.7784640171858217
train,041,,40,40,-0.049829959869384766,True,71768,71733,38217,1660,31856,63199,34816,1182,27166,0.8806013822316353,0.9110081900724808,0.7120481927710843,0.8527749874434958
train,042,,40,40,-0.04984307289123535,True,70672,70620,23523,270,46827,62551,22668,270,39568,0.8850888612180213,0.963652595332228,1.0,0.8449825955111367
train,043,,40,40,-0.049881935119628906,True,70575,70555,26988,2133,41434,62678,25714,2133,34813,0.8881048529932696,0.9527938342967245,1.0,0.8402036974465414
train,044,,40,40,-0.049835920333862305,True,66080,66073,21823,500,43750,57404,21219,500,35678,0.8687046004842615,0.9723227787196994,1.0,0.8154971428571428
train,046,,40,40,-0.04986095428466797,True,70434,69757,27636,328,41793,63256,27398,328,34860,0.8980889911122469,0.9913880445795339,1.0,0.8341109755222167
train,052,,40,40,-0.04985404014587402,True,66023,65994,33594,1763,30637,57669,30160,1585,25897,0.8734683367917241,0.8977793653628624,0.8990357345433919,0.8452851127721382
train,053,,40,40,-0.049833059310913086,True,67994,67968,29291,693,37984,58456,28135,693,29611,0.8597229167279465,0.9605339524085896,1.0,0.7795650800336984
train,056,,40,40,-0.049829959869384766,True,70034,70020,25753,1501,42766,58910,24057,1326,33513,0.841162863751892,0.9341435949209801,0.8834110592938041,0.7836365336949913
train,057,,40,40,-0.04981684684753418,True,67447,67440,29197,1099,37144,58851,28162,1099,29583,0.8725517813987279,0.9645511525156694,1.0,0.7964408787421925
train,058,,40,40,-0.04987812042236328,True,67788,67787,35643,308,31836,59127,32813,308,26005,0.8722340237210126,0.9206015206351879,1.0,0.8168425681618294
train,064,,40,40,-0.04986214637756348,True,68751,68727,27506,0,41221,59230,26828,0,32381,0.8615147416037585,0.9753508325456264,0.0,0.7855462021785012
train,066,,40,40,-0.04983115196228027,True,69719,69701,25526,1872,42303,61213,25000,1872,34323,0.8779959551915547,0.9793935595079527,1.0,0.8113608963903269
train,067,,40,40,-0.049818992614746094,True,69630,69490,23736,291,45463,62409,23375,237,38693,0.8962947005601034,0.9847910347152006,0.8144329896907216,0.85108769768823
train,069,,40,40,-0.04986119270324707,True,67185,67132,23884,54,43194,57263,23318,54,33845,0.8523182257944482,0.9763021269469101,1.0,0.783557901560402
train,070,,40,40,-0.04983997344970703,True,59877,59810,18464,0,41346,54048,18220,0,35772,0.9026504333884463,0.9867850953206239,0.0,0.8651864751124655
train,071,,40,40,-0.04981088638305664,True,67521,67497,24874,929,41694,57697,22714,851,34108,0.8545045245182981,0.9131623381844496,0.9160387513455328,0.8180553556866695
train,072,,40,40,-0.04986405372619629,True,71298,71267,23801,418,47048,60794,22158,418,38190,0.8526746893320991,0.9309692870047477,1.0,0.81172419656521
train,073,,40,40,-0.049818992614746094,True,73196,73131,29491,1002,42638,62353,28302,1002,33007,0.8518634898081863,0.9596826150350954,1.0,0.7741216755007271
train,077,,40,40,-0.04984617233276367,True,68469,68431,29343,1741,37347,58673,27156,1104,30383,0.856927952796156,0.9254677435845006,0.6341183228029867,0.813532546121509
train,078,,40,40,-0.04984784126281738,True,71197,71172,23639,9393,38140,60964,21262,7690,31996,0.8562720339340141,0.8994458310419222,0.8186947727030768,0.8389092815941269
train,080,,40,40,-0.04964399337768555,True,63540,63378,24083,607,38688,55668,22492,533,32541,0.876109537299339,0.9339368018934519,0.8780889621087314,0.841113523573201
train,084,,40,40,-0.04968094825744629,True,63386,63346,29818,873,32655,56238,28413,837,26951,0.8872306187486195,0.952880810248843,0.9587628865979382,0.8253253713060787
train,088,,40,40,-0.049659013748168945,True,67315,67253,32313,663,34277,59937,30601,629,28679,0.890395899873728,0.9470182279577879,0.9487179487179487,0.8366834903871401
train,089,,40,40,-0.049674034118652344,True,53957,53889,33756,867,19266,46737,30926,775,14996,0.8661897436847861,0.9161630524943714,0.8938869665513264,0.7783660334267621
train,094,,40,40,-0.04969000816345215,True,56425,56374,33480,1521,21373,49756,31867,1406,16439,0.8818077093486929,0.9518219832735961,0.9243918474687706,0.7691479904552473
train,095,,40,40,-0.04964590072631836,True,63200,63157,28012,265,34880,55986,26898,265,28785,0.8858544303797469,0.9602313294302441,1.0,0.8252580275229358
train,097,,40,40,-0.04967308044433594,True,64194,64162,23288,1723,39151,56117,22850,1698,31552,0.8741782721126585,0.9811920302301614,0.9854904236796286,0.8059053408597482
train,098,,40,40,-0.049649953842163086,True,57523,57494,34787,775,21932,47883,30770,665,16420,0.8324148601428993,0.8845258286141374,0.8580645161290322,0.748677731169068
train,105,,40,40,-0.04964590072631836,True,63402,63358,24092,600,38666,53749,21068,556,32089,0.8477492823570234,0.8744811555703138,0.9266666666666666,0.8299022396937878
train,109,,40,40,-0.049685001373291016,True,57124,57116,32912,679,23525,49070,29654,668,18742,0.8590084727960227,0.901008750607681,0.9837997054491899,0.7966843783209352
train,110,,40,40,-0.049659013748168945,True,65637,65626,26682,144,38800,53071,24036,144,28880,0.8085531026707498,0.9008320215875871,1.0,0.7443298969072165
train,112,,40,40,-0.04966020584106445,True,60133,60081,29063,1008,30010,52925,27437,856,24593,0.8801323732393195,0.9440525754395623,0.8492063492063492,0.8194935021659446
train,113,,40,40,-0.04970502853393555,True,53879,53795,28021,1308,24466,45784,25899,1163,18650,0.8497559345941833,0.9242710824024839,0.8891437308868502,0.7622823510177389
