split,sequence,ok,error,num_images,num_lidar_pkls,num_cam_poses,num_cam_timestamps,num_lid_poses,num_lid_timestamps,image_width,image_height,fx,fy,cx,cy,cam_ts_first,cam_ts_last,lid_ts_first,lid_ts_last
train,003,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557539980.450219,1557539988.350587,1557539980.500074,1557539988.400406
train,005,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557540143.650423,1557540151.549884,1557540143.700293,1557540151.599721
train,011,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557540585.250015,1557540593.150792,1557540585.29984,1557540593.200614
train,016,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557540699.25051,1557540707.150009,1557540699.300379,1557540707.199858
train,017,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557540753.250396,1557540761.150511,1557540753.300222,1557540761.200337
train,019,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557540817.250004,1557540825.15087,1557540817.299819,1557540825.200714
train,021,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557540905.250561,1557540913.150347,1557540905.30043,1557540913.200172
train,023,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557540977.249891,1557540985.150212,1557540977.299742,1557540985.200032
train,024,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541031.050348,1557541038.950024,1557541031.100177,1557541038.999882
train,027,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541231.05055,1557541238.950641,1557541231.100375,1557541239.000506
train,028,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541275.050188,1557541282.950827,1557541275.100041,1557541283.000657
train,029,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541319.050615,1557541326.949905,1557541319.100484,1557541326.999736
train,030,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541454.849986,1557541462.750381,1557541454.89985,1557541462.800188
train,032,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541646.450024,1557541654.35065,1557541646.499827,1557541654.400478
train,033,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541697.450721,1557541705.350201,1557541697.500536,1557541705.400033
train,035,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541742.449877,1557541750.350687,1557541742.499731,1557541750.400542
train,039,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541943.9505,1557541951.850377,1557541944.000311,1557541951.900247
train,040,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557541969.850738,1557541977.749977,1557541969.90058,1557541977.799813
train,041,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542101.949996,1557542109.850782,1557542101.999842,1557542109.900612
train,042,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542117.950197,1557542125.850419,1557542118.000068,1557542125.900246
train,043,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542133.950504,1557542141.849901,1557542134.000377,1557542141.89973
train,044,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542197.949838,1557542205.849976,1557542197.999681,1557542205.899819
train,046,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542274.950606,1557542282.850208,1557542275.000421,1557542282.90007
train,052,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542685.050653,1557542692.951866,1557542685.100485,1557542693.001704
train,053,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542734.350641,1557542742.250519,1557542734.400479,1557542742.300334
train,056,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557542851.650358,1557542859.549604,1557542851.700189,1557542859.599404
train,057,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557550218.850427,1557550226.750742,1557550218.900251,1557550226.80058
train,058,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557550263.850441,1557550271.749184,1557550263.90031,1557550271.799015
train,064,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557551164.650662,1557551172.549963,1557551164.700488,1557551172.599803
train,066,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557551668.650279,1557551676.550723,1557551668.700126,1557551676.600555
train,067,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557551716.650028,1557551724.550377,1557551716.699827,1557551724.600231
train,069,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557551924.150535,1557551932.050037,1557551924.200406,1557551932.099864
train,070,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557552187.249624,1557552195.150555,1557552187.299467,1557552195.200388
train,071,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557552291.250299,1557552299.150642,1557552291.300125,1557552299.200484
train,072,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557552400.750519,1557552408.650097,1557552400.800385,1557552408.69995
train,073,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557552537.750447,1557552545.650222,1557552537.800257,1557552545.700085
train,077,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557553167.349938,1557553175.250635,1557553167.399798,1557553175.300483
train,078,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557553207.350657,1557553215.250267,1557553207.400493,1557553215.300138
train,080,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557592546.950534,1557592554.850739,1557592547.000219,1557592554.900421
train,084,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557592873.750195,1557592881.650259,1557592873.799843,1557592881.699927
train,088,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557593159.94996,1557593167.850736,1557593159.999647,1557593167.900396
train,089,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557593167.950708,1557593175.850204,1557593168.000371,1557593175.899848
train,094,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557593263.950611,1557593271.850353,1557593264.000305,1557593271.900008
train,095,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557594281.450122,1557594289.350618,1557594281.499805,1557594289.400268
train,097,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557595199.150283,1557595207.050799,1557595199.199966,1557595207.10047
train,098,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557595423.150257,1557595431.050467,1557595423.19996,1557595431.100132
train,105,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557595640.850366,1557595648.75035,1557595640.900021,1557595648.800042
train,109,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557595833.350457,1557595841.250018,1557595833.400113,1557595841.299708
train,110,True,,80,80,80,80,80,80,1920,1080,1970.0131,1970.0091,970.0002,483.2988,1557595841.350047,1557595849.250751,1557595841.399731,1557595849.300436
