run,metric,best_epoch,final_epoch,best,final,final_minus_best
G2,marking_iou,68,100,0.5504437571438177,0.5465588721620231,-0.003884884981794512
G2,marking_f1,68,100,0.710046726438925,0.7068064229562204,-0.003240303482704543
G2,marking_precision,68,100,0.6356172360248448,0.6302132673125452,-0.005403968712299534
G2,marking_recall,68,100,0.8042191605884231,0.804592853077486,0.0003736924890628268
G2,miou,68,100,0.827824829372536,0.826876286528266,-0.0009485428442700394
F0,marking_iou,13,25,0.482769554261302,0.4499823523598424,-0.03278720190145962
F0,marking_f1,13,25,0.6511727366857246,0.620672867676627,-0.030499869009097624
F0,marking_precision,13,25,0.5492490994544084,0.4845237642802307,-0.06472533517417767
F0,marking_recall,13,25,0.7995432172280974,0.8632394602705148,0.06369624304241739
F0,miou,13,25,0.7986818335955664,0.7878732564819798,-0.010808577113586626
H0,marking_iou,37,100,0.5506709660320686,0.5447483761223104,-0.005922589909758136
H0,marking_f1,37,100,0.7102357342011142,0.7052907574368321,-0.004944976764282072
H0,marking_precision,37,100,0.658916105353511,0.6262384532591083,-0.032677652094402654
H0,marking_recall,37,100,0.770224617749473,0.8071845271973331,0.036959909447860095
H0,miou,37,100,0.8267280584014761,0.8269382444165502,0.0002101860150740542
